"","record_id","redcap_survey_identifier","household_sex_toy_usage_survey_timestamp","consent","screening_age","screening_usage","country_origin","country_name","age","gender_birth","gender_expression","gender_other","employment","employment_other","career","career_other","household_income","access_sextoys","access_no___1","access_no___2","access_no___3","access_no___4","access_no___5","access_no___6","access_no___7","access_no_other","own_trad_sextoys","categorize_sextoys___1","categorize_sextoys___2","categorize_sextoys___3","categorize_sextoys___4","categorize_sextoys___5","household_select___1","household_select___2","household_select___3","household_select___4","household_select___5","household_select___6","household_select___7","household_select___8","household_select___9","household_select___10","householditem_other","toothbrush_satisfaction","household_recommend_1","showerhead_satisfaction","showerhead_recommend","washmachine_satisfaction","washmachine_recommend","massagewand_satisfaction","massagewand_recommend","silktie_satisfaction","silktie_recommend","icecube_satisfaction","icecube_recommend","produce_satisfaction","produce_recommend","furniture_satisfaction","furniture_recommend","pillow_satisfaction","pillow_recommend","other_satisfaction","other_recommend","household_cost","safety_concerns___1","safety_concerns___2","safety_concerns___3","safety_concerns___4","safety_concerns___5","safety_concerns___6","safety_concerns___7","other_concern","household_sex_toy_usage_survey_complete","household_sum","traditional_sum","total_toys","household_toy","superuser"
"27",72,NA,"[not completed]","Yes",1,1,1,"",1,2,2,"",5,"",NA,"",NA,0,1,0,0,1,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,FALSE,FALSE
"28",74,NA,"2023-06-24 19:18:07","Yes",1,1,1,"",4,2,2,"",1,"",21,"Utility worker",6,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2,0,0,0,FALSE,FALSE
"29",78,NA,"[not completed]","Yes",1,1,1,"",2,1,1,"",1,"",11,"",4,1,0,0,0,0,0,0,0,"",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,2,1,3,TRUE,FALSE
"30",80,NA,"2023-06-24 19:54:44","Yes",1,1,1,"",1,1,1,"",5,"",1,"",3,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,"",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,77,NA,100,NA,NA,NA,3,0,1,0,0,0,0,0,NA,2,3,3,5,TRUE,TRUE
"31",82,NA,"2023-06-24 19:57:30","Yes",1,1,1,"",1,1,1,"",4,"",8,"",1,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"",88,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,NA,2,2,0,2,TRUE,FALSE
"32",87,NA,"2023-06-24 20:15:57","Yes",1,1,1,"",2,1,3,"",1,"",11,"",3,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,"",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,69,NA,NA,NA,72,NA,2,1,1,0,1,0,0,0,NA,2,3,3,5,TRUE,TRUE
"33",90,NA,"[not completed]","Yes",1,1,1,"",3,2,2,"",1,"",2,"",7,1,0,0,0,0,0,0,0,"",1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,3,2,4,TRUE,TRUE
"34",93,NA,"2023-06-24 20:31:46","Yes",1,1,1,"",4,1,1,"",1,"",2,"",7,1,0,0,0,0,0,0,0,"",1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"",88,NA,83,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,0,0,0,NA,2,3,1,4,TRUE,TRUE
"35",94,NA,"2023-06-24 20:35:38","Yes",1,1,1,"",2,2,2,"",1,"",1,"",6,0,0,0,0,0,0,0,1,"Lack of interest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,2,0,0,0,FALSE,FALSE
"36",97,NA,"2023-06-24 20:45:09","Yes",1,1,1,"",3,1,1,"",1,"",2,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,NA,2,2,3,4,TRUE,FALSE
